rooms,area_total,area_living,area_kitchen,floor,floors_total,floor_ratio,building_year,building_age,company_ad,is_first_floor,is_last_floor,is_single_floor,has_furniture,has_appliances,has_balcony_text,has_parking,has_concierge,has_elevator,no_animals,renovation_euro,renovation_cosmetic,renovation_none,owner_rents,metro_nearby,metro_distance,month,day_of_week,is_weekend,days_since_listed,has_area_living,has_area_kitchen,has_building_year,has_floor_info,has_contact,price_usd,source,address,ad_link,metro_station,building_decade,price_per_m2
2.0,37.0,18.0,7.0,5.0,9.0,0.5555555555555556,1979.0,47.0,False,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3473.4607005828093,6.0,2.0,0,3.0,1,1,1,1,1,443.97,kufar,"Якубова ул, 6, Минск",https://re.kufar.by/vi/1074528996,Партизанская,1970-е,11.99918918918919
2.0,35.0,,,1.0,5.0,0.2,,,False,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,713.2390237124686,6.0,2.0,0,3.0,0,0,0,1,1,390.69,kufar,"Пуховичская ул, 19, Минск",https://re.kufar.by/vi/1074528593,Слуцкий гостинец,,11.162571428571429
4.0,42.0,,7.0,4.0,5.0,0.8,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2829.2735540703884,6.0,2.0,0,3.0,0,1,0,1,1,372.94,kufar,"Уборевича ул, 66к1, Минск",https://re.kufar.by/vi/1074528674,Могилёвская,,8.879523809523809
,29.0,,,23.0,25.0,0.92,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1051.2431725560277,6.0,2.0,0,3.0,0,0,0,1,1,600.0,kufar,"Леонида Щемелёва ул, 10, Минск",https://re.kufar.by/vi/1074528480,Аэродромная,,20.689655172413794
2.0,65.0,55.0,,16.0,24.0,0.6666666666666666,2023.0,3.0,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,867.2508853784765,6.0,2.0,0,3.0,1,0,1,1,1,1400.0,kufar,"Игоря Лученка ул, 28, Минск",https://re.kufar.by/vi/1074528422,Неморшанский сад,2020-е,21.53846153846154
3.0,50.0,28.0,10.0,4.0,9.0,0.4444444444444444,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,577.0690807234242,6.0,2.0,0,3.0,1,1,0,1,1,532.77,kufar,"Данилы Сердича ул, 9, Минск",https://re.kufar.by/vi/1074527605,Пушкинская,,10.6554
5.0,50.0,,12.0,6.0,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,427.01982233946893,6.0,2.0,0,3.0,0,1,0,0,1,650.0,kufar,"Дзержинского пр, 22, Минск",https://re.kufar.by/vi/1074527464,Грушевка,,13.0
2.0,33.0,17.0,7.0,5.0,12.0,0.4166666666666667,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1806.0950793323889,6.0,2.0,0,3.0,1,1,0,1,1,370.0,kufar,"Ангарская ул, 70, Минск",https://re.kufar.by/vi/1074527304,Могилёвская,,11.212121212121213
,33.0,17.0,9.0,,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1579.6201221161432,6.0,2.0,0,3.0,1,1,0,0,1,337.42,kufar,"Почтовая ул, 4, Минск",https://re.kufar.by/vi/1074526804,Уручье,,10.224848484848485
,56.0,,,4.0,5.0,0.8,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,253.85890523058606,6.0,2.0,0,3.0,0,0,0,1,1,550.0,kufar,"Притыцкого ул, 26, Минск",https://re.kufar.by/vi/1074525936,Пушкинская,,9.821428571428571
