snapshot_date,source,price_usd,rooms,area_total,area_living,floor,floors_total,company_ad,condition,building_year,location_lat,location_lon,list_time,building_type,ad_id,subject,body_short,price_byn,ad_link,district,balcony,area_code,address,contact_name,area_kitchen,uuid,title,description,street,metro,metro_time,furniture,house_type,metro_station
2026-07-04,kufar,350.0,,33.0,,,,True,,,53.866986,27.683409,2026-07-04T08:35:47Z,1.0,1075299772,Квартира метро Могилевская,"В квартире имеется вся бытовая техника и мебель для проживания!Не рассматриваются 2 девочки,2 мальчика,не студентам,строго без животных.Регистрация во",1017.17,https://re.kufar.by/vi/1075299772,10.0,1.0,26.0,"Ангарская ул, 18к3, Минск",ООО Атлас недвижимости,,,,,,,,,,
2026-07-04,kufar,780.0,2.0,38.6,32.5,22.0,25.0,False,10.0,2021.0,53.869731,27.526788,2026-07-04T08:28:07Z,2.0,1075737133,Новая 2-комнатная квартира с дизайнерским ремонтом,"Панорамная квартира на 22 этаже от собственника.  Только на длительный срок, не студентам, без животных, без детей. Оплата по 3 месяца и плюс гарантий",2266.84,https://re.kufar.by/vi/1075737133,170.0,2.0,28.0,"Брилевская ул, 33, Минск",Алла,,,,,,,,,,
2026-07-04,kufar,1138.81,,90.0,,3.0,,True,10.0,,53.901902,27.566655,2026-07-04T08:24:27Z,,1071254619,"Четырехкомнатная квартира в центре Минска, Карла Маркса 42","Сдаётся очень светлая, уютная и просторная квартира с удобным расположением в самом центре Минска.

- Высокие потолки, в наличии вся мебель и техника",3309.6,https://re.kufar.by/vi/1071254619,,3.0,27.0,"Карла Маркса ул, 42, Минск",ООО ''Агентство недвижимости Авеню'',,,,,,,,,,
2026-07-04,kufar,580.0,2.0,40.0,29.0,3.0,21.0,False,5.0,2023.0,53.8691406928945,27.53486095245125,2026-07-04T08:24:12Z,10.0,1048544571,"Квартира, 2 комн., 40 м², этаж 3 из 21","Сдаётся  уютная евродвушка в районе   Минск -Мир в  квартире есть все необходимое для проживания.В близи дома вся необходимая инфраструктура магазины,",1685.6,https://re.kufar.by/vi/1048544571,170.0,3.0,28.0,"Леонида Левина ул, 1, Минск",Римма,,,,,,,,,,
2026-07-04,kufar,516.14,,48.0,38.0,4.0,9.0,False,1.0,1973.0,53.916811736533326,27.476362918411468,2026-07-04T08:24:10Z,2.0,1073388261,2хкомнатная квартира,"Сдам 2хкомн. квартиру ,4й этаж,молодой семье ,порядочным интеллигентным людям,без домашних животных.
Зеленый массив из балкона,три живописных парка,ря",1500.0,https://re.kufar.by/vi/1073388261,205.0,1.0,30.0,"Матусевича ул, 30, Минск",Нина,7.0,,,,,,,,,
2026-07-04,kufar,2960.9,2.0,128.9,,7.0,7.0,True,10.0,2020.0,53.900931,27.555166,2026-07-04T08:22:50Z,,191502150,Аренда апартаментов в Liberty Residenc,Сдаются в долгосрочную и краткосрочную аренду (от полугода) апартаменты класса люкс в одном из самых престижных бизнес-центров Минска - «Liberty Resid,8604.96,https://re.kufar.by/vi/191502150,,1.0,22.0,"Интернациональная ул, 20А, Минск",ООО ''Агентство недвижимости Авеню'',,,,,,,,,,
2026-07-04,kufar,450.0,2.0,36.2,18.0,3.0,5.0,False,5.0,,53.875437,27.53604,2026-07-04T08:22:34Z,4.0,1074075860,Квартира на Чкалова,"В долгосрочную аренду сдается однокомнатная квартира на 3 этаже в  пятиэтажном доме со свежим ремонтом. В доме был кап.ремонт, заменены коммуникации.",1307.79,https://re.kufar.by/vi/1074075860,15.0,1.0,28.0,"Чкалова ул, 21, Минск",Валерий,6.0,,,,,,,,,
2026-07-04,kufar,790.0,6.0,72.0,42.0,3.0,13.0,False,5.0,2013.0,53.885687,27.514966,2026-07-04T08:18:32Z,3.0,1075736394,3х комн. в 100 метрах от ст Метро Грушевка,"100м от м. Грушевка сдается в долгосрочную аренду от собственника 3-х комнатная квартира. Готова к заселению с 01 июля 2026г. Уютная, светлая, престиж",2295.9,https://re.kufar.by/vi/1075736394,55.0,,29.0,"Щорса ул, 11, Минск",Владимир,11.0,,,,,,,,,
2026-07-04,kufar,1066.69,3.0,79.0,58.3,3.0,5.0,False,,1960.0,53.90464787211555,27.541643921904328,2026-07-04T08:13:21Z,3.0,1075483035,3-комн квартира в центре Минска,Предлагаем трехкомнатную квартиру в центре Минска в долгосрочную аренду.,3100.0,https://re.kufar.by/vi/1075483035,,1.0,29.0,"Романовская Слобода ул, 13, Минск",Наталья,7.0,,,,,,,,,
2026-07-04,kufar,600.0,,39.3,17.9,2.0,25.0,False,5.0,2014.0,53.865717,27.483812,2026-07-04T08:08:50Z,2.0,1072574997,1-комнатная квартира на ст.м Петровщина на длительный срок,1-комнатная квартира от собственника только на длительный срок (договор). Ст. м. «Петровщина» - в шаговой доступности. Можно иностранцам. Дети приветс,1743.72,https://re.kufar.by/vi/1072574997,320.0,3.0,29.0,"Газеты Правда пр, 17, Минск",Оксана,10.0,,,,,,,,,
2026-07-04,kufar,530.0,,58.0,,,,False,,,53.938082,27.609909,2026-07-04T08:00:45Z,1.0,1075734401,Сдаётся новая 2-комнатная квартира,"2-комнатная квартира в ул.Волгоградская, 72, с прекрасным видом на город (первое заселение).
Рядом Севастопольский парк, сквер И.Мележа в шаговой дост",1540.29,https://re.kufar.by/vi/1075734401,,1.0,24.0,"Волгоградская ул, 72, Минск",Андрей,,,,,,,,,,
2026-07-04,kufar,700.0,,39.0,30.0,1.0,24.0,False,10.0,2025.0,53.873787,27.511166,2026-07-04T07:51:55Z,2.0,1075730986,1-ое заселение,"Новая квартира! 1-ое заселение! 1-комн. Стильный ремонт, вся встроенная техника и сантехника, кондиционер, стиралка. Там никто не жил, будете первыми)",2034.34,https://re.kufar.by/vi/1075730986,,1.0,29.0,"Кузьмы Минина ул, Минск",Any,,,,,,,,,,
2026-07-04,kufar,500.0,1.0,33.0,25.0,6.0,,False,5.0,2020.0,53.878644,27.496497,2026-07-04T07:45:58Z,10.0,1075730549,квартира от 15 дней проживания рассматривается,квартира от 15 дней проживания,1453.1,https://re.kufar.by/vi/1075730549,,3.0,29.0,"Гурского ул, 45, Минск",Сергей,5.0,,,,,,,,,
2026-07-04,kufar,1000.0,4.0,60.0,48.1,19.0,20.0,False,5.0,2018.0,53.886636225013966,27.518356720800764,2026-07-04T07:41:13Z,2.0,1072538489,Долгосрочная аренда,Современная уютная квартира с панорамным видом на Грушевский сквер и город с высокого 19 этажа. В квартире есть все для комфортного проживания и отдых,2906.2,https://re.kufar.by/vi/1072538489,55.0,1.0,29.0,"Дзержинского пр, 15, Минск","Наталья, Владимир",22.7,,,,,,,,,
2026-07-04,kufar,516.14,,60.0,42.0,5.0,9.0,False,1.0,2010.0,53.923074,27.442813,2026-07-04T07:39:03Z,1.0,1075729917,Сдается 2-х комнатная квартира на длительный срок,"Сдается на длительный срок светлая просторная двухкомнатная квартира с отличным видом во двор. Две отдельные комнаты, совместный санузел, оснащена меб",1500.0,https://re.kufar.by/vi/1075729917,65.0,3.0,30.0,"Иосифа Жиновича ул, 21, Минск",Павел,13.0,,,,,,,,,
2026-07-04,kufar,344.09,,33.0,,,,True,,,53.876043,27.498742,2026-07-04T07:37:49Z,3.0,1073563865,1-комн квартира ст.м Михалово,1-комн квартира рядом с метро. Все вопросы только по телефону!,1000.0,https://re.kufar.by/vi/1073563865,55.0,1.0,29.0,"Уманская ул, 55, Минск",ООО Атлас недвижимости,,,,,,,,,,
2026-07-04,kufar,420.0,2.0,34.0,17.0,2.0,9.0,False,5.0,1991.0,53.940372,27.684541,2026-07-04T07:16:41Z,1.0,1075725654,Квартира рядом с метро Уручье,"Сдам уютную однокомнатную квартиру,расположенную в шаговой доступности от ст.метро Уручье,(300 м).В квартире есть все необходимое для комфортного отды",1220.6,https://re.kufar.by/vi/1075725654,280.0,3.0,24.0,"Руссиянова ул, 3к2, Минск",Пользователь,8.0,,,,,,,,,
2026-07-04,kufar,550.0,,43.0,29.0,5.0,5.0,False,,1980.0,53.872459,27.634127,2026-07-04T07:11:23Z,3.0,1075106166,Сдам 2х комнатную квартиру на длительный срок,Сдам двухкомнатную квартиру. Квартира сдается на длительный срок. Был кап.ремонт в 2019 году. Станция метро Партизанская в 7 минутах пешком. Этаж 5/5.,1598.41,https://re.kufar.by/vi/1075106166,,1.0,26.0,"Филатова ул, 3А, Минск",Дмитрий,6.0,,,,,,,,,
2026-07-04,kufar,860.23,4.0,87.6,59.0,6.0,9.0,True,,1974.0,53.920773,27.552695,2026-07-04T07:03:58Z,,1075472627,4-комнатная квартира на Червякова 6,"Сдаётся просторная 4-комнатная квартира в одном из лучших районов Minsk — ул. Червякова, 6 (район Червякова–Шевченко).

95 м2 комфорта в кирпичном дом",2500.0,https://re.kufar.by/vi/1075472627,,1.0,22.0,"Червякова ул, 6, Минск",ООО ''АН Клевер'',6.8,,,,,,,,,
2026-07-04,kufar,600.0,3.0,65.0,44.0,3.0,9.0,False,1.0,,53.86436486566602,27.46670012701992,2026-07-04T07:03:03Z,1.0,1075724986,3-комнатная квартира с.м «Петровщина»,"Только гражданам РБ!
Сдаётся светлая , чистая и классная 3-комнатная квартира рядом с метро «Петровщина»,всего 15 мин пешком.
Все три комнаты раздельн",1743.72,https://re.kufar.by/vi/1075724986,320.0,1.0,29.0,"Газеты Звязда пр, 22к1, Минск",Продавец,7.2,,,,,,,,,
2026-07-04,kufar,481.73,1.0,32.0,17.0,5.0,9.0,False,5.0,,53.885267,27.435564,2026-07-04T06:57:13Z,1.0,1072975704,Сдается однокомнатная квартира на длительный срок,"Сдаётся уютная и просторная однокомнатная квартира по адресу ул.Сухаревская д.13. 
Квартира находится на 5 этаже 9-этажного дома. 
Для комфортного про",1400.0,https://re.kufar.by/vi/1072975704,265.0,3.0,30.0,"Сухаревская ул, 13, Минск",Павел,7.1,,,,,,,,,
