ad_id,list_time,subject,body_short,price_usd,price_byn,company_ad,ad_link,area_total,balcony,condition,floor,floors_total,building_year,area_code,location_lon,location_lat,address,contact_name,rooms,district,area_living,building_type,area_kitchen
1033632740,2026-07-08T08:33:57Z,Уникальная квартира в сердце Минска на ул. Карла Маркса,"Сдаётся уникальная квартира в сердце Минска — ул. Карла Маркса

Площадь 92 м², потолки 3 метра. Квартира расположена в знаковом доме на улице Карла Ма",1400.0,4013.52,False,https://re.kufar.by/vi/1033632740,92.0,1,10,4.0,4.0,1950.0,27,27.555543,53.897212,"Карла Маркса ул, 21, Минск",Алексей,,,,,
1075737133,2026-07-08T08:32:55Z,Новая 2-комнатная квартира с дизайнерским ремонтом,"Панорамная квартира на 22 этаже от собственника.  Только на длительный срок, не студентам, без животных, без детей. Оплата по 3 месяца и плюс гарантий",780.0,2236.1,False,https://re.kufar.by/vi/1075737133,38.6,2,10,22.0,25.0,2021.0,28,27.526788,53.869731,"Брилевская ул, 33, Минск",Алла,2.0,170,32.5,2,
1075916170,2026-07-08T08:32:16Z,Сдача в аренду квартиры на длительный срок,"Сдаётся уютная современная квартира в Минске! Адрес: ул. Аркадия Смолича, 6 (8/9 этаж)
Современный дом 2020 года – чистый подъезд, камеры видеонаблюде",450.0,1290.06,True,https://re.kufar.by/vi/1075916170,49.0,1,,8.0,,2020.0,27,27.583382,53.841376,"Аркадия Смолича ул, 6, Минск",ИП Карицкая Е.Ф.,,145,,1,
1076252330,2026-07-08T08:30:31Z,Квартира 2 комн. 39м² этаж 5 из 5,"Сдаётся двухкомнатная квартира на долгий срок.
В квартире сделан ремонт и есть вся необходимая для жизни техника.
Договор от года, депозит",470.0,1347.4,False,https://re.kufar.by/vi/1076252330,39.0,1,5,5.0,5.0,1961.0,22,27.556351,53.925455,"Шевченко бул, 12, Минск",Евгений,2.0,,27.0,4,6.0
1076252076,2026-07-08T08:27:38Z,"Сдается на длительный срок 2-комнатная квартира в микрорайоне Сухарево, ул. Горецкого, д. 23.","Сдается на длительный срок 2-комнатная квартира в микрорайоне Сухарево, ул. Горецкого, д. 23.

Внимание: только гражданам РБ, работающим, без вредных",470.91,1350.0,True,https://re.kufar.by/vi/1076252076,47.1,3,,3.0,9.0,1996.0,30,27.448868,53.883102,"Максима Горецкого ул, 23, Минск",ООО АвторЭстейт,,,28.5,1,
1076252045,2026-07-08T08:27:21Z,Сдается двухкомнатная квартира на Ландера 8,"Сдаем 2-комнатную не проходную квартиру с хорошей планировкой и свежим ремонтом. На длительный срок, гражданам РБ без вредных привычек и животных. Пре",488.35,1400.0,False,https://re.kufar.by/vi/1076252045,54.0,1,1,2.0,5.0,,28,27.49919057453261,53.841727457218795,"Ландера ул, 8, Минск",Дэйли Чейз,,135,,1,
1075042165,2026-07-08T08:26:20Z,Сдается 1 комнатная Якубо ва 48/1.,Сдается 1 комнатная квартира на длительный срок. Вся мебель и техника в наличии. По договору. Оплата по факту.,348.82,1000.0,True,https://re.kufar.by/vi/1075042165,42.0,1,1,,,,27,27.594485,53.855548,"Якубова ул, 48к1, Минск",ООО Альфа-риэлт,,230,,,
1076251929,2026-07-08T08:26:09Z,"1комн квартира ул.Рафиева 78, Московский район","Сдаётся квартира в Малиновке ул.Рафиева 78.
Срок аренды длительный.
Квартира с мебелью 
Холодильник , стиральная машина .
Без животных.
Просмотры с де",350.0,1003.38,True,https://re.kufar.by/vi/1076251929,37.0,,1,,,,29,27.438582,53.861272,"Рафиева ул, 78, Минск",ООО Альфа-риэлт,,150,,,
1076251864,2026-07-08T08:25:24Z,Сдается 1 квартира,"Однокомнатная квартира. Сдается на длительный срок. Квартира частично с ремонтом. Новая мебель. Залог за имущество, в размере месячной оплаты. Граждан",401.14,1150.0,False,https://re.kufar.by/vi/1076251864,47.0,1,,5.0,9.0,,30,27.440605031049646,53.923341148991,"Колесникова ул, 36, Минск",мария,,65,,,
1071254619,2026-07-08T08:24:27Z,"Четырехкомнатная квартира в центре Минска, Карла Маркса 42","Сдаётся очень светлая, уютная и просторная квартира с удобным расположением в самом центре Минска.

- Высокие потолки, в наличии вся мебель и техника",1142.39,3275.0,True,https://re.kufar.by/vi/1071254619,90.0,3,10,3.0,,,27,27.566655,53.901902,"Карла Маркса ул, 42, Минск",ООО ''Агентство недвижимости Авеню'',,,,,
1073388261,2026-07-08T08:24:10Z,2хкомнатная квартира,"Сдам 2хкомн. квартиру ,4й этаж,молодой семье ,порядочным интеллигентным людям,без домашних животных.
Зеленый массив из балкона,три живописных парка,ря",523.23,1500.0,False,https://re.kufar.by/vi/1073388261,48.0,1,1,4.0,9.0,1973.0,30,27.476362918411468,53.916811736533326,"Матусевича ул, 30, Минск",Нина,,205,38.0,2,7.0
191502150,2026-07-08T08:22:50Z,Аренда апартаментов в Liberty Residenc,Сдаются в долгосрочную и краткосрочную аренду (от полугода) апартаменты класса люкс в одном из самых престижных бизнес-центров Минска - «Liberty Resid,2970.21,8515.0,True,https://re.kufar.by/vi/191502150,128.9,1,10,7.0,7.0,2020.0,22,27.555166,53.900931,"Интернациональная ул, 20А, Минск",ООО ''Агентство недвижимости Авеню'',2.0,,,,
1076250701,2026-07-08T08:22:38Z,Квартиры,Сдается однокомнатная квартира на длительный срок. Семейным парам.,331.38,950.0,False,https://re.kufar.by/vi/1076250701,33.0,1,1,4.0,9.0,1980.0,26,27.68702,53.882651,"Герасименко ул, 18, Минск",Лариса Владимировна,1.0,10,17.0,1,7.2
1074075860,2026-07-08T08:22:34Z,Квартира на Чкалова,"В долгосрочную аренду сдается однокомнатная квартира на 3 этаже в  пятиэтажном доме со свежим ремонтом. В доме был кап.ремонт, заменены коммуникации.",450.0,1290.06,False,https://re.kufar.by/vi/1074075860,36.2,1,5,3.0,5.0,,28,27.53604,53.875437,"Чкалова ул, 21, Минск",Валерий,2.0,15,18.0,4,6.0
1076251387,2026-07-08T08:21:48Z,Квартира метро Грушевка,"Сдается евродвушка с продуманной планировкой у метро. Планировка: изолированная спальня, отдельная гостиная, компактная кухонная зона. Оснащение и удо",575.55,1650.0,False,https://re.kufar.by/vi/1076251387,40.0,3,5,,19.0,2023.0,29,27.510171527022752,53.8857609718658,"Дзержинского пр, 34, Минск",Татьяна,4.0,,30.0,2,
1076251407,2026-07-08T08:19:41Z,Однокомнатная студия без отделки,"Сдам евростудию без отделки,условия для проживания есть,остальную информацию по телефону.",0.0,0.0,False,https://re.kufar.by/vi/1076251407,30.0,3,20,15.0,25.0,2025.0,28,27.556127,53.860232,"Леонида Щемелёва ул, 18, Минск",Ольга,2.0,170,24.0,,
1076251028,2026-07-08T08:15:26Z,Сдается 2 комнатная квартира,"Тихое, зеленое место в центре города. Спокойные соседи. Отличное транспортное сообщение. Метро, Комаровский рынок в шаговой доступности. Свежий ремонт",500.0,1433.4,False,https://re.kufar.by/vi/1076251028,49.9,1,5,3.0,5.0,1967.0,23,27.572782,53.923859,"Максима Богдановича ул, 72, Минск",Евгений,4.0,120,32.0,3,7.0
1076250925,2026-07-08T08:14:27Z,Двухкомнатная Квартира в аренду 52 кв. м.,"Двухкомнатная квартира. В шаговой доступности - парк Челюскинцев, Ботанический сад, метро, дворец водного спорта.",523.23,1500.0,False,https://re.kufar.by/vi/1076250925,52.0,1,1,5.0,8.0,1972.0,24,27.604582,53.922284,"Независимости пр, 76, Минск",Константин,6.0,,31.0,3,8.0
1076250288,2026-07-08T08:09:28Z,Сдам квартиру  в Минске на длительный срок,"Сдается 2-х комн квартира 8 мин пешком М Могилевская,комнаты (26,10 ) раздельные 3 спальных места,санузлы раздельные,кухня 7,коридор9,лоджия 6м,хороши",453.47,1300.0,False,https://re.kufar.by/vi/1076250288,53.0,3,1,6.0,9.0,1990.0,26,27.67617485392995,53.866636320020234,"Варвашени ул, 20к3, Минск",ВОЛОДЯ,3.0,10,36.0,3,7.0
1076250149,2026-07-08T08:07:43Z,"Минск, Белорусская, 17","Сдается шикарная 4-комнатная квартира премиум-класса в самом сердце Минска! 

Расположенная на живописном берегу реки Свислочь, эта квартира в престиж",941.82,2700.0,True,https://re.kufar.by/vi/1076250149,149.5,3,,6.0,15.0,2003.0,27,27.563313,53.890436,"Белорусская ул, 17, Минск","ООО ""Группа компаний Эксклюзив""",,,89.5,,19.1
1076244969,2026-07-08T08:03:46Z,Сдам квартиру,"Сдам квартиру от 15 суток с 10.07, цена указана за 15 суток",200.0,573.36,False,https://re.kufar.by/vi/1076244969,33.0,3,1,1.0,9.0,,26,27.630243846082156,53.85811219265379,"Крупской ул, 2, Минск",Ольга,,,,1,
1076249478,2026-07-08T07:59:03Z,"Сдается квартира на Мстиславца,  10","ФОТО БУДУТ ОБНОВЛЕНЫ В ПЯТНИЦУ ПОСЛЕ КЛИНИНГА ! 
 Сдается стильная евродвушка с дизайнерским ремонтом на длительный срок по адресу: ул. Мстиславца, 10",850.0,2436.78,False,https://re.kufar.by/vi/1076249478,40.0,3,10,7.0,13.0,2020.0,24,27.650135,53.931095,"Петра Мстиславца ул, 10, Минск",Виктория,2.0,325,,2,
1076248452,2026-07-08T07:55:30Z,Ищем соседку в квартиру,Снимали втроем эту квартиру за 1250 р в месяц + коммуналка (хозяин прописан) + интернет. Одна из девочек выбывает. Ищем замену. Мы студентки БГУ и раб,0.0,0.0,False,https://re.kufar.by/vi/1076248452,53.8,1,1,3.0,,,28,27.52862,53.847862,"переулок Корженевского, 18, Минск",Элина,4.0,135,,,
1075657517,2026-07-08T07:50:58Z,Квартира,"Сдается светлая, уютная 2-х комнатная квартира от собственника в экологически чистом и зеленом районе Минска.Новый дом, 4 этаж,сделан качественный рем",550.0,1576.74,False,https://re.kufar.by/vi/1075657517,60.0,3,5,4.0,19.0,2019.0,24,27.718443,53.952004,"Курсанта Гвишиани ул, 10, Минск",Татьяна,3.0,50,32.0,1,10.0
1076245640,2026-07-08T07:46:39Z,"2-к квартира  Коммунистическая ул., 10","Сдается уникальная видовая 2-комнатная квартира в Центральном районе Минска, на улице Коммунистической. Идеальный вариант для тех, кто ищет комфортное",1186.0,3400.02,True,https://re.kufar.by/vi/1076245640,65.0,3,,6.0,6.0,1954.0,22,27.569,53.9101,"Коммунистическая ул, 10, Минск",ООО ТВОЯ СТОЛИЦА,,,58.0,,
1075046058,2026-07-08T07:41:35Z,Квартира 1-комнатная в центре на Киселёва,"Сдам в долгосрочную аренду 1-комнатную квартиру в центре Минска на ул. Киселева, 22. Самый центр Минска, тихий, зелёный район. В шаговой доступности с",400.0,1146.72,False,https://re.kufar.by/vi/1075046058,35.0,1,,2.0,5.0,,22,27.564697,53.914499,"Киселёва ул, 22, Минск",Николай,2.0,,18.0,,
1072538489,2026-07-08T07:41:13Z,Долгосрочная аренда,Современная уютная квартира с панорамным видом на Грушевский сквер и город с высокого 19 этажа. В квартире есть все для комфортного проживания и отдых,1000.0,2866.8,False,https://re.kufar.by/vi/1072538489,60.0,1,5,19.0,20.0,2018.0,29,27.518356720800764,53.886636225013966,"Дзержинского пр, 15, Минск","Наталья, Владимир",4.0,55,48.1,2,22.7
1073738812,2026-07-08T07:37:25Z,Сдам квартиру,"Рядом лес, стадион, школа, садик. В кв. Есть всё необходимое. Агентам не беспокоить. Собственник.",575.55,1650.0,False,https://re.kufar.by/vi/1073738812,46.1,1,1,4.0,5.0,,25,27.669975436939318,53.908981116529844,"Карвата ул, 52, Минск",Игорь,6.0,255,,1,
1076244243,2026-07-08T07:32:17Z,Сдается в аренду уютная просторная 2 комнатная квартира,"Квартира чистая уютная просторная полностью укомплектована современной техникой и мебелью. Рядом широкая инфоструктура, выезд на МКАД, метро.",600.0,1720.08,False,https://re.kufar.by/vi/1076244243,60.0,3,5,4.0,19.0,2003.0,29,27.455965,53.846428,"Космонавтов ул, 43, Минск",Алексей,5.0,150,40.0,1,10.0
1076240685,2026-07-08T07:21:12Z,Уютная 1- комнатная квартира в новостройке,"Сдам квартиру на длительный срок порядочным людям без животных. Квартира в новостройке. Рядом метро Академия наук, пл. Якуба Колоса, Парк Челюскинцев.",500.0,1433.4,False,https://re.kufar.by/vi/1076240685,55.0,3,1,5.0,9.0,2025.0,23,27.596272,53.93778,"Восточная ул, 119, Минск",Анна,4.0,220,20.0,2,17.0
1073525332,2026-07-08T07:18:54Z,Сдается 1-комнатная квартира.,Сдается 1-комнатная квартира. Станция метро Каменная горка в шаговой доступности. Сдается на длительный срок. Имеется все необходимое для проживания.,350.0,1003.38,True,https://re.kufar.by/vi/1073525332,40.6,3,1,,,,30,27.427317,53.906411,"Притыцкого ул, 113, Минск",ООО Атлас недвижимости,,,,,
1076240039,2026-07-08T07:12:26Z,Сдам квартиру,"Сдам квартиру в долгосрочную аренду по договору. Без животных, не студенты.
450у.е в месяц + залог  + квартплата ежемесячно - ориентировочно 120 руб",450.0,1290.06,False,https://re.kufar.by/vi/1076240039,45.9,1,1,3.0,16.0,2016.0,30,27.444987,53.878283,"Академика Карского ул, 8, Минск",Анастасия,2.0,,17.6,,13.2
1076240032,2026-07-08T07:12:21Z,Квартира в аренду,"Сдается некурящим людям без животных на долгий срок, в квартире никто не прописан.

Местоположение
Просторная трехкомнатная квартира в элитном жилом д",1000.0,2866.8,False,https://re.kufar.by/vi/1076240032,63.0,1,10,7.0,10.0,2015.0,22,27.466556,53.940732,"Победителей пр, 129, Минск",Анна,,,,,
1076239907,2026-07-08T07:10:26Z,Квартира студия,"Сдается квартира студия на длительный срок по договору.
Квартира расположена на 10 этаже , полностью готова для  комфортного проживания.  Есть холодил",490.0,1404.73,False,https://re.kufar.by/vi/1076239907,30.0,,10,10.0,25.0,2023.0,28,27.534262,53.868637,"Леонида Левина ул, 7, Минск",Наталья,,170,,,
1072344682,2026-07-08T07:09:03Z,"Аренда 2-комн. квартиры, пр-т. Партизанский, д. 131","Долгосрочная аренда замечательной 2-комн. квартиры в  10 минутах ходьбы от 2-х станций метро Автозаводская и Могилёвская.

Отличный ремонт, укомплекто",523.23,1500.0,True,https://re.kufar.by/vi/1072344682,60.7,2,,2.0,2.0,1951.0,26,27.662694,53.86577,"Партизанский пр, 131, Минск",ООО АвторЭстейт,4.0,,37.4,3,7.6
1076239334,2026-07-08T07:08:33Z,Сдается трехкомнатная квартира,"Сдается на длительный срок трехкомнатная квартира. Три отдельных, непроходных комнаты. Общ. жил. пл. 75 м.кв, 5 этаж 9-этажного дома, С мебелью и быто",650.0,1863.42,False,https://re.kufar.by/vi/1076239334,75.0,1,,5.0,9.0,,30,27.457276,53.898257,"Одинцова ул, 7, Минск",Валерий,,80,,,
1075845478,2026-07-08T07:06:18Z,3-к квартира проспект Мира 1,"Сдается уютная квартира в  центре ЖК «Минск-Мир».

Адрес: Минск, проспект Мира 1.
Метро: 100 метров до станции «Аэродромная» — выход из дома и вы уже",750.0,2150.1,True,https://re.kufar.by/vi/1075845478,63.3,3,10,13.0,18.0,2020.0,28,27.549991,53.869784,"Мира пр, 1, Минск",ИП Чопчиц А.Ф.,,170,54.0,4,
1075472627,2026-07-08T07:03:58Z,4-комнатная квартира на Червякова 6,"Сдаётся просторная 4-комнатная квартира в одном из лучших районов Minsk — ул. Червякова, 6 (район Червякова–Шевченко).

95 м2 комфорта в кирпичном дом",872.05,2500.0,True,https://re.kufar.by/vi/1075472627,87.6,1,,6.0,9.0,1974.0,22,27.552695,53.920773,"Червякова ул, 6, Минск",ООО ''АН Клевер'',4.0,,59.0,,6.8
