ad_id,list_time,subject,body_short,price_usd,price_byn,company_ad,ad_link,rooms,area_total,area_living,balcony,condition,floor,floors_total,building_type,building_year,area_code,location_lon,location_lat,address,contact_name,district,area_kitchen
1076902084,2026-07-13T09:33:24Z,Сдается квартира в 1 минутке от метро Михалков на длительный срок,"В квартире сделан хороший ремонт и продуман стильный лаконичный интерьер. Есть удобное спальное место (диван и кровать), вместительный открытый шкаф и",450.0,1291.32,False,https://re.kufar.by/vi/1076902084,2.0,28.2,19.5,1,5,14.0,15.0,10,2015.0,29,27.494951,53.877794,"Гурского ул, 41, Минск",Татьяна,,
1076901949,2026-07-13T09:32:12Z,Аренда квартиры от собственника,"Сдается уютная, светлая, аккуратная квартира от собственника! Дом новый, хорошее транспортное сообщение, на 1 этаже дома продуктовый магазин, аптека,",525.0,1506.54,False,https://re.kufar.by/vi/1076901949,2.0,47.0,35.0,3,1,7.0,10.0,10,2020.0,28,27.526295485900587,53.87096143848986,"Николы Теслы ул, 1, Минск",Татьяна,170,
1076901655,2026-07-13T09:28:11Z,Сдается 2х комнатная квартира Белинского,"Сдается 2-х квартира по улице Белинского. С одной стороны трамвайная линия до Комаровского рынка и пл. Якуба Коласа ехать буквально 5 минут, с другой",453.02,1300.0,False,https://re.kufar.by/vi/1076901655,,40.0,26.0,1,5,2.0,5.0,3,1986.0,24,27.607708,53.933847,"Белинского ул, 7, Минск",Виктор,,7.0
1076901579,2026-07-13T09:27:21Z,Аренда квартир,"Сдам квартиру с 20 июля  гражданам РБ на длительный срок только по договору. Отличное месторасположение, метро , магазины , остановка общественного тр",450.0,1291.32,False,https://re.kufar.by/vi/1076901579,2.0,43.0,18.0,3,1,12.0,14.0,3,2005.0,27,27.593982,53.883426,"Партизанский пр, 23, Минск",Людмила,,12.0
1076901500,2026-07-13T09:26:11Z,Сдам,"Сдаю на длительный срок светлую однокомнатную квартиру во Фрунзенском районе по адресу: г. Минск, ул. Тимошенко, д. 14/2, 7-й этаж. Заселение возможно",383.33,1100.0,False,https://re.kufar.by/vi/1076901500,2.0,33.4,17.1,3,1,7.0,9.0,1,1986.0,30,27.462513,53.902024,"Тимошенко ул, 14к2, Минск",Андрей,80,7.1
1072507481,2026-07-13T09:22:04Z,Аренда квартиры,"Сдаётся на длительный срок семье квартира от собственика,с заключением договора в жесе ( обязателен депозит, который возвращается при расторжении дого",590.0,1693.06,False,https://re.kufar.by/vi/1072507481,4.0,65.0,50.0,1,1,9.0,16.0,3,2000.0,28,27.548302,53.884636,"Могилёвская ул, 20, Минск",Виталия,,12.0
1076901096,2026-07-13T09:21:31Z,"Сдаётся 2-х комн. квартира (51,5 кв. м.), 8-й этаж","Сдаётся 2-х комн. квартира (51,5 кв. м.), 8-й этаж 9-ти этажного дома. 
Полностью укомплектована всей необходимой мебелью и бытовой техникой (холодиль",400.0,1147.84,False,https://re.kufar.by/vi/1076901096,,51.5,33.4,1,1,8.0,9.0,3,1974.0,26,27.632232,53.839399,"Голодеда ул, 31, Минск",Маргарита,305,7.0
1076901016,2026-07-13T09:20:38Z,Квартира в аренду,"Сдается отличная и уютная квартира в микрорайоне Малиновка.
Квартира укомплектована всей необходимой мебелью и техникой для комфортного проживания: пл",650.0,1865.24,False,https://re.kufar.by/vi/1076901016,2.0,86.0,72.0,4,5,4.0,24.0,10,2014.0,29,27.47677,53.851256,"Дзержинского пр, 119, Минск",Екатерина,30,14.0
1073579249,2026-07-13T09:16:48Z,Сдается однокомнатная квартира возле метро,"Сдается однокомнатная квартира на длительный срок аренды по договору найма ,в квартире есть все необходимое для жизни 
Рядом метро ковальская слобода",350.0,1004.36,True,https://re.kufar.by/vi/1073579249,2.0,38.0,16.0,1,1,,12.0,,,28,27.551132,53.879769,"Жуковского ул, 17, Минск",ООО Атлас недвижимости,,
1075634369,2026-07-13T09:13:29Z,Сдается 1 комн. квартира.,"Сдается квартира по договору аренды. стоимость 1100р/мес +600р. залог. С животными, студентов просьба не беспокоить.",0.0,0.0,False,https://re.kufar.by/vi/1075634369,,35.0,,,1,2.0,,,,27,27.567234339714418,53.869285810237756,"Козыревская ул, 15, Минск",Татьяна,,
