ad_id,list_time,subject,body_short,price_usd,price_byn,company_ad,ad_link,rooms,district,area_total,area_living,balcony,condition,floor,floors_total,building_type,building_year,area_code,location_lon,location_lat,address,contact_name,area_kitchen
1079325722,2026-08-06T08:29:41Z,Аренда квартиры,"Сдаётся новая квартира в новостройке. Без комиссии!

Квартира сдается впервые, идеально чистая, после застройщика с полной отделкой.

Бытовая техника",550.0,1609.52,False,https://re.kufar.by/vi/1079325722,2.0,170,32.0,26.5,1,5,9.0,13.0,2,2026.0,28,27.539885,53.865037,"Михаила Савицкого ул, 23, Минск",Алла,
1080009566,2026-08-06T08:20:01Z,Евротрешка на несколько месяцев,"С 1 сентября по 23 декабря 2026. В арендную стоимость включена коммуналка, интернет. Никаких скрытых платежей. Для некурящих, без животных.",1000.0,2926.4,False,https://re.kufar.by/vi/1080009566,6.0,170,57.0,36.0,4,5,23.0,25.0,2,2021.0,28,27.538071,53.862802,"Мира пр, 16, Минск",Ольга,7.0
1080009034,2026-08-06T08:16:09Z,Однокомнатная квартира,"Сдается уютная квартира в тихом районе в центре минска. 

В квартире есть все необходимое для жизни: посуда, полотенца, постельное белье, микроволновк",400.0,1170.56,False,https://re.kufar.by/vi/1080009034,1.0,,37.2,,3,5,8.0,10.0,,2000.0,23,27.561984,53.920645,"Старовиленская ул, 97, Минск",Игнат,
1078642110,2026-08-06T08:15:33Z,Сдаю 2-х комнатную квартиру Маяк Минска,"2-комнатная квартира со свежим ремонтом. Общая площадь 56 м2. 6 этаж. Гостиная, совмещённая с кухней, спальня, гардеробная, постирочная, ванная комнат",1196.01,3500.0,False,https://re.kufar.by/vi/1078642110,2.0,325,56.4,42.4,3,10,6.0,25.0,4,2017.0,24,27.654097,53.927655,"Петра Мстиславца ул, 3, Минск",Татьяна,
1080004703,2026-08-06T07:54:39Z,"2комн.квартира сдаётся ул.Ангарская 18/1,м.Могилевская","Сдается двухкомнатная квартира в Заводском районе ул.Ангарская 18/1,м.Могилевская на длительный срок .В наличии мебель ,холодильник,стиральная машина",375.89,1100.0,True,https://re.kufar.by/vi/1080004703,,10,47.0,,1,1,,,,,26,27.681639,53.867172,"Ангарская ул, 18к1, Минск",ООО Альфа-риэлт,
1079846508,2026-08-06T07:51:58Z,Сдам 2-х комнатную квартиру Минск,Сдается с сентября на 9 месяцев.,600.0,1755.84,False,https://re.kufar.by/vi/1079846508,2.0,,62.7,34.3,3,5,2.0,10.0,10,2014.0,22,27.473787,53.934907,"Мястровская ул, 5, Минск",Иван,14.4
1080004331,2026-08-06T07:50:20Z,1-комн. Квартира на длит срок. Стильный ремонт,"1 комнатная квартира. Стильный ремонт, вся встроенная техника и сантехника, посудомойка, стиралка. Кровать 1600х2000мм. 5 минут от метро",700.0,2048.48,False,https://re.kufar.by/vi/1080004331,2.0,,39.0,,1,5,1.0,24.0,,2020.0,29,27.508381,53.889115,"Розы Люксембург ул, 151, Минск",Any,
1080004297,2026-08-06T07:49:46Z,"Аренда 1-комнатной квартиры, Горецкого 21",Сдается уютная квартира по адресу: ул. Горецкого 21. Расположена на 8 этаже из 12. Квартира укомплектована всем необходимым для комфортного проживания,370.0,1082.77,True,https://re.kufar.by/vi/1080004297,,265,37.0,17.3,3,,8.0,12.0,1,,30,27.449606,53.88282,"Максима Горецкого ул, 21, Минск",ООО Центр недвижимости ГАЛАКТИКА,9.0
1080004165,2026-08-06T07:48:09Z,Сдается 2-ч комнатная квартира,"Сдаётся уютная 2-комнатная квартира на длительный срок по ул. Филимонова, в пешей доступности от метро «Московская» (10 минут) и Национальной библиоте",600.0,1755.84,False,https://re.kufar.by/vi/1080004165,5.0,,52.0,52.0,1,1,2.0,10.0,3,2000.0,24,27.635771,53.922581,"Филимонова ул, 43, Минск",Елена,11.0
1080004028,2026-08-06T07:46:19Z,"1-к квартира  Алибегова ул., 6/2","Ищете уютное жилье в столице? Сдается просторная 1-комнатная квартира в Минске, расположенная по адресу: ул. Алибегова, в престижном Московском районе",450.0,1316.88,True,https://re.kufar.by/vi/1080004028,,320,49.9,22.7,3,,7.0,9.0,,2006.0,29,27.486,53.8729,"Алибегова ул, 6к1, Минск",ООО ТВОЯ СТОЛИЦА,11.4
